DateTime,AddedIPs,RemovedIPs
1577104322,80,80
1577104923,80,80
1577105522,80,80
1577106122,80,80
1577107322,78,78
1577107921,79,79
1577108521,22,22
1577109721,80,80
1577110323,80,80
1577110922,80,80
1577111522,80,80
1577112122,74,74
1577112722,8,8
1577113322,80,80
1577113922,80,80
1577115122,80,80
1577115721,80,80
1577116923,80,80
1577117522,69,69
1577118122,80,80
1577118722,80,80
1577119322,80,80
1577119922,80,80
1577120522,80,80
1577121722,80,80
1577122322,80,80
1577122922,80,80
1577123522,80,80
1577124722,80,80
1577125322,80,80
1577125922,80,80
1577126522,80,80
1577127122,80,80
1577127722,80,80
1577128322,80,80
1577128922,80,80
1577129522,80,80
1577130122,80,80
1577130722,80,80
1577131322,79,79
1577131922,77,77
1577132522,80,80
1577133722,80,80
1577134322,80,80
1577135522,80,80
1577136122,80,80
1577136722,80,80
1577137322,77,77
1577137922,54,54
1577138522,57,57
1577139722,80,80
1577140922,80,80
1577141522,80,80
1577142122,80,80
1577142722,23,23
1577143322,80,80
1577143922,80,80
1577144522,80,80
1577145121,80,80
1577145723,80,80
1577146321,80,80
1577146922,80,80
1577148122,80,80
1577148722,80,80
1577149322,80,80
1577149921,80,80
1577150522,73,73
1577151122,80,80
1577151722,80,80
1577152322,80,80
1577153523,58,58
1577154123,80,80
1577154722,80,80
1577155322,80,80
1577156522,79,79
1577157122,80,80
1577157723,80,80
1577158322,80,80
1577158922,80,80
1577159522,80,80
1577160122,80,80
1577160722,80,80
1577161322,80,80
1577161922,80,80
1577162523,23,23
1577163122,80,80
1577163722,80,80
1577164322,78,78
1577164922,79,79
1577165522,80,80
1577166122,80,80
1577166722,80,80
1577167322,80,80
1577167922,80,80
1577168522,80,80
1577169722,80,80
1577170322,80,80
1577170922,80,80
1577171522,80,80
1577172122,80,80
1577172722,73,73
1577173322,45,45
1577173922,80,80
1577174522,80,80
1577175122,80,80
1577175722,80,80
1577176322,80,80
1577176922,80,80
1577178122,79,79
1577178723,80,80
1577179322,80,80
1577179922,80,80
1577180522,43,43
1577181723,80,80
1577182322,80,80
1577182922,80,80
1577183522,80,80
1577184122,80,80
1577184723,80,80
1577185322,80,80
1577186522,80,80
1577187122,80,80
1577187722,80,80
1577188322,80,80
1577188922,80,80
1577189522,80,80
1577190122,80,80
1577190722,80,80
1577191322,78,78
1577191922,80,80
1577192522,80,80
1577193722,80,80
1577194322,79,79
1577194922,80,80
1577196122,80,80
1577197322,80,80
1577198523,78,78
1577199122,80,80
1577199723,80,80
1577200322,80,80
1577200922,80,80
1577201522,12,12
1577202122,80,80
1577202722,80,80
1577203322,80,80
1577204522,80,80
1577205122,80,80
1577205722,80,80
1577206322,80,80
1577206922,73,73
1577208122,78,78
1577209322,79,79
1577209922,80,80
1577210522,80,80
1577211123,80,80
1577211722,80,80
1577212322,80,80
1577212922,80,80
1577213522,80,80
1577214122,80,80
1577214722,80,80
1577215322,79,79
1577215922,80,80
1577216522,80,80
1577217122,79,79
1577217722,80,80
1577218323,80,80
1577218922,80,80
1577220122,80,80
1577220722,80,80
1577221322,80,80
1577222522,80,80
1577223122,80,80
1577223722,80,80
1577224322,80,80
1577224922,80,80
1577225522,80,80
1577226122,80,80
1577226722,80,80
1577227322,80,80
1577227922,80,80
1577228522,80,80
1577229722,80,80
1577230322,80,80
1577230922,80,80
1577231522,80,80
1577232124,80,80
1577232722,80,80
1577233322,72,72
1577233922,76,76
1577234522,79,79
1577235723,80,80
1577236322,76,76
1577236922,75,75
1577237522,80,80
1577238122,80,80
1577238722,80,80
1577239322,80,80
1577239922,80,80
1577240522,80,80
1577241122,80,80
1577241722,80,80
1577242323,7,7
1577242922,30,30
1577243523,28,28
1577244122,33,33
1577245322,46,46
1577245922,80,80
1577246522,80,80
1577247122,80,80
1577247722,80,80
1577248322,80,80
1577248922,80,80
1577249522,80,80
1577250122,80,80
1577250723,80,80
1577251322,75,75
1577252522,80,80
1577253122,80,80
1577253722,80,80
1577254322,80,80
1577254922,80,80
1577256123,80,80
1577256722,9,9
1577257322,80,80
1577258522,80,80
1577259122,80,80
1577259722,80,80
1577260922,80,80
1577261522,80,80
1577262122,80,80
1577263322,36,36
1577263922,56,56
1577264522,79,79
1577265122,80,80
1577265722,80,80
1577266322,80,80
1577266922,80,80
1577268122,80,80
1577268722,80,80
1577269322,80,80
1577269922,80,80
1577270522,80,80
1577271722,80,80
1577272322,9,9
1577272922,80,80
1577273522,80,80
1577274122,80,80
1577275322,80,80
1577276522,80,80
1577277123,79,79
1577277723,60,60
1577278922,80,80
1577279522,79,79
1577280122,80,80
1577280722,80,80
1577281322,80,80
1577281922,80,80
1577282523,6,6
1577283722,80,80
1577284322,80,80
1577284922,80,80
1577285522,80,80
1577286122,80,80
1577287322,12,12
1577287922,23,23
1577288522,79,79
1577289123,80,80
1577289722,80,80
1577291522,80,80
1577292122,5,5
1577292722,80,80
1577293323,80,80
1577293922,80,80
1577294522,80,80
1577295122,80,80
1577295723,80,80
1577296322,80,80
1577296922,80,80
1577297523,80,80
1577298122,80,80
1577298722,80,80
1577299322,80,80
1577300522,80,80
1577301722,80,80
1577302922,80,80
1577303522,80,80
1577304122,80,80
1577305322,79,79
1577305922,80,80
1577306522,80,80
1577307122,80,80
1577307722,80,80
1577308322,80,80
1577308922,80,80
1577309522,80,80
1577310123,80,80
1577310722,80,80
1577311922,80,80
1577312522,80,80
1577313122,80,80
1577313722,80,80
1577314322,80,80
1577314922,80,80
1577315522,80,80
1577316122,73,73
1577316722,31,31
1577317322,80,80
1577317922,80,80
1577318523,80,80
1577319122,80,80
1577319722,80,80
1577320322,80,80
1577320922,80,80
1577321522,80,80
1577322122,80,80
1577322722,80,80
1577323322,80,80
1577324522,80,80
1577325122,80,80
1577325722,72,72
1577326922,38,38
1577328122,80,80
1577328722,80,80
1577329322,78,78
1577329922,80,80
1577330522,80,80
1577331122,80,80
1577331722,80,80
1577332322,80,80
1577332922,80,80
1577333522,80,80
1577334122,80,80
1577334722,80,80
1577335322,80,80
1577336522,80,80
1577337122,80,80
1577337722,77,77
1577338322,80,80
1577338922,80,80
1577339523,80,80
1577340122,80,80
1577340722,61,61
1577341322,80,80
1577341922,80,80
1577342522,80,80
1577343122,80,80
1577343722,80,80
1577344922,54,54
1577345522,80,80
1577346122,80,80
1577346722,80,80
1577347323,80,80
1577347922,80,80
1577348522,80,80
1577349122,80,80
1577349722,80,80
1577350322,76,76
1577350922,77,77
1577352122,80,80
1577352722,80,80
1577353322,80,80
1577353922,76,76
1577354522,79,79
1577355722,80,80
1577356322,80,80
1577356922,80,80
1577358122,80,80
1577359322,75,75
1577359922,80,80
1577360522,80,80
1577361122,80,80
1577361722,80,80
1577362322,80,80
1577362922,80,80
1577363522,80,80
1577364122,80,80
1577364722,80,80
1577365322,80,80
1577365922,76,76
1577366522,79,79
1577367122,80,80
1577367722,80,80
1577368922,80,80
1577369522,80,80
1577370122,80,80
1577370723,80,80
1577371322,80,80
1577372522,80,80
1577373122,80,80
1577373722,29,29
1577374322,80,80
1577374922,80,80
1577375522,80,80
1577376122,80,80
1577376722,80,80
1577377322,80,80
1577377922,80,80
1577379122,80,80
1577379722,80,80
1577380322,80,80
1577380922,80,80
1577381522,75,75
1577382122,80,80
1577382722,80,80
1577383323,79,79
1577384522,79,79
1577385123,72,72
1577385722,80,80
1577386322,80,80
1577386922,80,80
1577387522,80,80
1577388122,80,80
1577388722,80,80
1577389322,80,80
1577389922,80,80
1577390522,80,80
1577391122,80,80
1577391722,80,80
1577392322,80,80
1577392922,80,80
1577394122,79,79
1577394721,79,79
1577395322,80,80
1577395922,80,80
1577396522,80,80
1577397122,80,80
1577397721,80,80
1577398322,80,80
1577398922,80,80
1577399522,80,80
1577400122,77,77
1577400722,80,80
1577401322,80,80
1577401921,80,80
1577402522,80,80
1577403122,80,80
1577403722,26,26
1577404322,80,80
1577404923,80,80
1577405522,80,80
1577406122,80,80
1577406722,80,80
1577407322,80,80
1577408522,80,80
1577409722,80,80
1577410322,80,80
1577410922,80,80
1577412128,80,80
1577412724,80,80
1577413322,80,80
1577413923,80,80
1577414523,80,80
1577415122,80,80
1577416322,80,80
1577416922,80,80
1577417523,80,80
1577418122,80,80
1577419322,80,80
1577420522,80,80
1577421122,80,80
1577421722,80,80
1577422323,80,80
1577422922,80,80
1577423522,80,80
1577424122,80,80
1577424722,80,80
1577425322,80,80
1577425922,80,80
1577426522,80,80
1577427722,80,80
1577428322,80,80
1577428922,76,76
1577429522,80,80
1577430122,80,80
1577430722,80,80
1577431322,78,78
1577432522,38,38
1577433122,34,34
1577433722,49,49
1577434322,79,79
