DateTime,Entries,UniqueIPs
1576467867,1701,1701
1576469778,1714,1714
1576471961,1721,1721
1576473860,1722,1722
1576475769,1720,1720
1576477935,1714,1714
1576480111,1720,1720
1576482023,1708,1708
1576484182,1710,1710
1576486334,1703,1703
1576488250,1705,1705
1576490178,1710,1710
1576492090,1708,1708
1576494028,974,974
1576495950,987,987
1576498121,1314,1314
1576500010,1331,1331
1576501934,1339,1339
1576503860,1342,1342
1576505782,1339,1339
1576507933,1331,1331
1576509876,1332,1332
1576511769,1335,1335
1576513686,1364,1364
1576515618,1377,1377
1576517560,1380,1380
1576519710,1395,1395
1576521610,1398,1398
1576523551,1398,1398
1576525450,1390,1390
1576527612,1389,1389
1576529543,1388,1388
1576531451,1384,1384
1576533387,1378,1378
1576535284,1373,1373
1576537209,1371,1371
1576539147,1370,1370
1576541061,1668,1668
1576542981,1668,1668
1576545166,1664,1664
1576547053,1676,1676
1576548993,1690,1690
1576550894,1696,1696
1576552818,1707,1707
1576554741,1719,1719
1576556660,1730,1730
1576558575,1735,1735
1576560491,1732,1732
1576562433,1732,1732
1576564334,1735,1735
1576566254,1747,1747
1576568183,1743,1743
1576570113,1756,1756
1576572023,1751,1751
1576574188,1751,1751
1576576107,1757,1757
1576578039,1757,1757
1576579940,1761,1761
1576581852,1016,1016
1576584040,1450,1450
1576585958,1449,1449
1576588107,1452,1452
1576590013,1458,1458
1576591950,1450,1450
1576593854,1455,1455
1576595776,1459,1459
1576597714,1451,1451
1576599617,1456,1456
1576601529,1459,1459
1576603460,1478,1478
1576605369,1480,1480
1576607286,1490,1490
1576609224,1486,1486
1576611133,1484,1484
1576613064,1475,1475
1576614968,1482,1482
1576617138,1469,1469
1576619051,1459,1459
1576620980,1458,1458
1576622888,1451,1451
1576624813,1452,1452
1576626729,1469,1469
1576628661,1858,1858
1576630567,1864,1864
1576632738,1877,1877
1576634654,1889,1889
1576636581,1917,1917
1576638756,1930,1930
1576640649,1937,1937
1576642822,1952,1952
1576644727,1966,1966
1576646662,1972,1972
1576648567,1981,1981
1576650746,2000,2000
1576652654,2005,2005
1576654585,2004,2004
1576656512,2002,2002
1576658427,2007,2007
1576660340,2007,2007
1576662251,2007,2007
1576664184,2007,2007
1576666089,2009,2009
1576668020,1219,1219
1576669930,1220,1220
1576671852,1642,1642
1576674034,1648,1648
1576675932,1647,1647
1576678101,1651,1651
1576680024,1644,1644
1576682180,1635,1635
1576684328,1628,1628
1576686267,1617,1617
